id,role_name,created_date
1,Developer,2025-08-01 07:51:34.679679
2,Architect,2025-08-01 07:51:34.679679
3,Transformation Consultant,2025-08-01 07:51:34.679679
4,Automation Engineer,2025-08-01 07:51:34.679679
5,QA,2025-08-01 07:51:34.679679
6,DevOps,2025-08-01 07:51:34.679679
7,Digital Marketing,2025-08-01 07:51:34.679679
8,Pre Sales,2025-08-01 07:57:56.498495
9,AWS Infra,2025-08-02 08:52:23.390574
10,Azure Infra,2025-08-02 08:52:23.390574
11,Backend Engineer (Python),2025-08-02 08:52:23.390574
12,Data & AI,2025-08-02 08:52:23.390574
13,Data Engineer,2025-08-02 08:52:23.390574
14,Delivery Manager,2025-08-02 08:52:23.390574
15,DevOps/MLOps,2025-08-02 08:52:23.390574
16,Frontend,2025-08-02 08:52:23.390574
17,Frontend Dev (Vue js),2025-08-02 08:52:23.390574
18,Fullstack Dev,2025-08-02 08:52:23.390574
19,Golang Backend,2025-08-02 08:52:23.390574
20,Golang Fullstack,2025-08-02 08:52:23.390574
21,Java Backend,2025-08-02 08:52:23.390574
22,Java Fullstack,2025-08-02 08:52:23.390574
23,Jr Frontend,2025-08-02 08:52:23.390574
24,MERN Fullstack,2025-08-02 08:52:23.390574
25,ML Engineer,2025-08-02 08:52:23.390574
26,Mobile Dev,2025-08-02 08:52:23.390574
27,Product Owner,2025-08-02 08:52:23.390574
28,Program Manager,2025-08-02 08:52:23.390574
29,Project Manager Consultant,2025-08-02 08:52:23.390574
30,QA - Aut,2025-08-02 08:52:23.390574
31,Solution Architect,2025-08-02 08:52:23.390574
32,Technical Program Manager,2025-08-02 08:52:23.390574
