id,group_id,module_name,sub_page,can_add,can_edit,can_delete,can_view,created_date,updated_date
36,8,Demand Planning,Target Setting,True,True,False,True,2025-07-10 11:55:59.801561,2025-07-10 11:55:59.801561
37,8,Demand Planning,Demand Tweaking,True,True,True,True,2025-07-10 11:55:59.801561,2025-07-10 11:55:59.801561
38,8,Demand Planning,Editable Plan View,True,True,True,True,2025-07-10 11:55:59.801561,2025-07-10 11:55:59.801561
39,8,Supply Planning,Supply Planning,True,True,True,True,2025-07-10 11:55:59.801561,2025-07-10 11:55:59.801561
40,8,Demand - Supply Mapping,Demand - Supply Mapping,True,True,True,True,2025-07-10 11:55:59.801561,2025-07-10 11:55:59.801561
41,8,Insights & Reporting,Insights & Reporting,False,False,False,True,2025-07-10 11:55:59.801561,2025-07-10 11:55:59.801561
42,8,Settings,Settings,False,True,False,True,2025-07-10 11:55:59.801561,2025-07-10 11:55:59.801561
43,9,Demand Planning,Target Setting,False,False,False,True,2025-07-10 11:56:00.265915,2025-07-10 11:56:00.265915
44,9,Demand Planning,Demand Tweaking,False,True,False,True,2025-07-10 11:56:00.265915,2025-07-10 11:56:00.265915
45,9,Demand Planning,Editable Plan View,False,True,False,True,2025-07-10 11:56:00.265915,2025-07-10 11:56:00.265915
46,9,Supply Planning,Supply Planning,False,True,False,True,2025-07-10 11:56:00.265915,2025-07-10 11:56:00.265915
47,9,Demand - Supply Mapping,Demand - Supply Mapping,True,True,False,True,2025-07-10 11:56:00.265915,2025-07-10 11:56:00.265915
48,9,Insights & Reporting,Insights & Reporting,False,False,False,True,2025-07-10 11:56:00.265915,2025-07-10 11:56:00.265915
49,9,Settings,Settings,False,False,False,False,2025-07-10 11:56:00.265915,2025-07-10 11:56:00.265915
50,10,Demand Planning,Target Setting,False,False,False,True,2025-07-10 11:56:00.705400,2025-07-10 11:56:00.705400
51,10,Demand Planning,Demand Tweaking,False,False,False,True,2025-07-10 11:56:00.705400,2025-07-10 11:56:00.705400
52,10,Demand Planning,Editable Plan View,False,False,False,True,2025-07-10 11:56:00.705400,2025-07-10 11:56:00.705400
53,10,Supply Planning,Supply Planning,False,False,False,True,2025-07-10 11:56:00.705400,2025-07-10 11:56:00.705400
54,10,Demand - Supply Mapping,Demand - Supply Mapping,False,False,False,True,2025-07-10 11:56:00.705400,2025-07-10 11:56:00.705400
