id,account_name,account_track,connect_name,partner_connect,owner,source,industry,region,lob,offering,financial_year,year,month,month_number,metric_type,value,created_at,updated_at,partner_org,status,duration,client_id,owner_id,forecast_plan_id
5069,Adani Green,Adani Green-Safety,,,Avinash,Direct Sales,Energy,India,Digital Engineering Consulting,AInsightOps,FY2025,2025,July,7,Forecasted,0.0,2025-06-29 05:21:58,2025-06-30 03:48:26.682394,,Active Lead,5,78,31,
5070,Adani Green,Adani Green-Safety,,,Avinash,Direct Sales,Energy,India,Digital Engineering Consulting,AInsightOps,FY2025,2025,July,7,Planned,0.0,2025-06-29 05:21:58,2025-06-30 03:48:26.682405,,Active Lead,5,79,31,
5071,Adani Green,Adani Green-Safety,,,Avinash,Direct Sales,Energy,India,Digital Engineering Consulting,AInsightOps,FY2025,2025,August,8,Billed,0.0,2025-06-29 05:21:58,2025-06-30 03:48:26.682415,,Active Lead,5,80,31,
5072,Adani Green,Adani Green-Safety,,,Avinash,Direct Sales,Energy,India,Digital Engineering Consulting,AInsightOps,FY2025,2025,August,8,Booked,0.0,2025-06-29 05:21:58,2025-06-30 03:48:26.682426,,Active Lead,5,81,31,
5073,Adani Green,Adani Green-Safety,,,Avinash,Direct Sales,Energy,India,Digital Engineering Consulting,AInsightOps,FY2025,2025,August,8,Forecasted,8000.0,2025-06-29 05:21:58,2025-06-30 03:48:26.682435,,Active Lead,5,82,31,
5074,Adani Green,Adani Green-Safety,,,Avinash,Direct Sales,Energy,India,Digital Engineering Consulting,AInsightOps,FY2025,2025,August,8,Planned,8000.0,2025-06-29 05:21:58,2025-06-30 03:48:26.682445,,Active Lead,5,83,31,
5075,Adani Green,Adani Green-Safety,,,Avinash,Direct Sales,Energy,India,Digital Engineering Consulting,AInsightOps,FY2025,2025,September,9,Billed,0.0,2025-06-29 05:21:58,2025-06-30 03:48:26.682455,,Active Lead,5,84,31,
5120,Allianz,Delivery,David Bejar,,Madhu,Reference,BFSI,Indonesia,Digital Engineering Delivery,Cloud and Devops,FY2025,2025,April,4,Forecasted,9000.0,2025-06-29 05:21:58,2025-06-30 03:48:26.684948,,Active Lead,7,129,39,12.0
5136,Allianz,Delivery,David Bejar,,Madhu,Reference,BFSI,Indonesia,Digital Engineering Delivery,Cloud and Devops,FY2025,2025,June,6,Forecasted,9000.0,2025-06-29 05:21:58,2025-06-30 03:48:26.685258,,Active Lead,7,145,39,12.0
5128,Allianz,Delivery,David Bejar,,Madhu,Reference,BFSI,Indonesia,Digital Engineering Delivery,Cloud and Devops,FY2025,2025,May,5,Forecasted,9000.0,2025-06-29 05:21:58,2025-06-30 03:48:26.685091,,Active Lead,7,137,39,12.0
5104,Allianz,Delivery,David Bejar,,Madhu,Reference,BFSI,Indonesia,Digital Engineering Delivery,Cloud and Devops,FY2025,2026,February,2,Forecasted,0.0,2025-06-29 05:21:58,2025-06-30 03:48:26.685823,,Active Lead,7,113,39,
5106,Allianz,Delivery,David Bejar,,Madhu,Reference,BFSI,Indonesia,Digital Engineering Delivery,Cloud and Devops,FY2025,2026,February,2,Planned,0.0,2025-06-29 05:21:58,2025-06-30 03:48:26.685854,,Active Lead,7,115,39,
5108,Allianz,Delivery,David Bejar,,Madhu,Reference,BFSI,Indonesia,Digital Engineering Delivery,Cloud and Devops,FY2025,2026,March,3,Billed,0.0,2025-06-29 05:21:58,2025-06-30 03:48:26.685873,,Active Lead,7,117,39,
5110,Allianz,Delivery,David Bejar,,Madhu,Reference,BFSI,Indonesia,Digital Engineering Delivery,Cloud and Devops,FY2025,2026,March,3,Booked,0.0,2025-06-29 05:21:58,2025-06-30 03:48:26.685890,,Active Lead,7,119,39,
5112,Allianz,Delivery,David Bejar,,Madhu,Reference,BFSI,Indonesia,Digital Engineering Delivery,Cloud and Devops,FY2025,2026,March,3,Forecasted,0.0,2025-06-29 05:21:58,2025-06-30 03:48:26.685908,,Active Lead,7,121,39,
5114,Allianz,Delivery,David Bejar,,Madhu,Reference,BFSI,Indonesia,Digital Engineering Delivery,Cloud and Devops,FY2025,2026,March,3,Planned,0.0,2025-06-29 05:21:58,2025-06-30 03:48:26.685927,,Active Lead,7,123,39,
5116,Allianz,Delivery,David Bejar,,Madhu,Reference,BFSI,Indonesia,Digital Engineering Delivery,Cloud and Devops,FY2025,2025,April,4,Billed,9000.0,2025-06-29 05:21:58,2025-06-30 03:48:26.684916,,Active Lead,7,125,39,
5118,Allianz,Delivery,David Bejar,,Madhu,Reference,BFSI,Indonesia,Digital Engineering Delivery,Cloud and Devops,FY2025,2025,April,4,Booked,9000.0,2025-06-29 05:21:58,2025-06-30 03:48:26.684932,,Active Lead,7,127,39,
5122,Allianz,Delivery,David Bejar,,Madhu,Reference,BFSI,Indonesia,Digital Engineering Delivery,Cloud and Devops,FY2025,2025,April,4,Planned,9000.0,2025-06-29 05:21:58,2025-06-30 03:48:26.684965,,Active Lead,7,131,39,
5124,Allianz,Delivery,David Bejar,,Madhu,Reference,BFSI,Indonesia,Digital Engineering Delivery,Cloud and Devops,FY2025,2025,May,5,Billed,9000.0,2025-06-29 05:21:58,2025-06-30 03:48:26.685046,,Active Lead,7,133,39,
5126,Allianz,Delivery,David Bejar,,Madhu,Reference,BFSI,Indonesia,Digital Engineering Delivery,Cloud and Devops,FY2025,2025,May,5,Booked,9000.0,2025-06-29 05:21:58,2025-06-30 03:48:26.685073,,Active Lead,7,135,39,
